column_name,data_type,bulk_ceramic_value,composite_value,required_for,allowed_values_or_example,notes
formula,string,Full KNN formula string,Filler ceramic formula only,Obj 2+3 (compulsory),"K0.5Na0.5NbO3 | (K0.44Na0.52Li0.04)(Nb0.84Ta0.10Sb0.06)O3 | 0.96(K0.5Na0.5)NbO3-0.04BiNaZrO3","Use standard chemical notation. For doped systems write full stoichiometry. Parsed by chemparse/pymatgen to extract elemental fractions as ML features."
d33,float,Piezoelectric coefficient pC/N (measured),d33 of composite in pC/N,Obj 2+3 (compulsory),"Range: 66 – 680 (ceramic) | 0 – 78 (composite)","Primary prediction target for soft ceramics. Leave blank if not measured. Do NOT use DFT-computed values mixed with experimental without flagging."
tc,float,Curie temperature in °C,Often blank for polymer composites,Obj 2+3 (compulsory),"Range: 105 – 458 °C","Second prediction target. Blank is acceptable for composite rows where Tc is not well-defined. Materials Project DFT values can be used for endmembers."
filler_wt_pct,float,Always 0 for bulk ceramics,Weight fraction of ceramic in polymer matrix,Obj 1* (optional),"0 | 3 | 5 | 10 | 15 | 20 | 40 | 80","Key feature for composite ML module. Set exactly 0 for all bulk ceramic rows. Non-zero only for composite rows."
matrix_type,categorical,none,Type of polymer host matrix,Obj 1* (optional),"none | pvdf | p_vdf_trfe | pvdf_hfp | pvdf_hfp_ctrfe","Use lowercase. none for all bulk ceramic rows. pvdf = polyvinylidene fluoride. p_vdf_trfe = P(VDF-TrFE) copolymer."
particle_morphology,categorical,none,Shape of ceramic filler particle,Obj 1* (optional),"none | spherical | rod | cube | nanoblock | fiber | platelet","none for bulk ceramic rows. Morphology strongly influences beta-phase nucleation in PVDF matrix."
particle_size_nm,float,blank,Average particle/filler size in nanometers,Obj 1* (optional),"50 | 80 | 100 | 150 | 200 | 500 | 1000","Leave blank for bulk ceramics. Use average size from paper. For nanorods use average length."
surface_treatment,categorical,none,Surface modifier applied to filler before mixing,Obj 1* (optional),"none | untreated | silane | plasma | acid | peg | dopamine","none for bulk ceramics. untreated = no modification done. silane = silane coupling agent (e.g. APTES/KH550)."
fabrication_method,categorical,Ceramic sintering/processing route,Composite film processing route,Obj 2 (compulsory),"conventional | hot_press | sps | rtgg | tgg | two_step | electrospinning | solvent_cast | cold_sinter | hot_compression","For ceramics use sintering method. For composites use film-making method. rtgg = reactive templated grain growth. sps = spark plasma sintering."
vickers_hardness,float,Vickers hardness HV (kgf/mm²) if reported,Composite film hardness if measured,Obj 2 (compulsory — primary new target),"Range: 38 – 1200 HV typical for ceramics","One of the two new prediction targets for Obj 2. Often reported as HV0.5 or HV1 (load in kg). Leave blank if only Qm is reported. Do NOT mix Mohs and Vickers in same column."
qm,float,Mechanical quality factor Qm (dimensionless),Blank for polymer composites,Obj 2 (compulsory — primary new target),"Range: 50 – 1500+ | soft ceramics: 50–200 | hard ceramics: 200–1500+","Second new prediction target for Obj 2. Inversely correlated with d33 in most compositions — this trade-off is the core of the Pareto optimization in Obj 4*."
kp,float,Planar electromechanical coupling coefficient,Blank,Optional (useful feature),"Range: 0.30 – 0.65","Dimensionless. Indicates electromechanical efficiency. Useful as an additional prediction target or feature. Not required but collect if reported in paper."
relative_density_pct,float,Percentage of theoretical density achieved,Blank for composites,Obj 2 (compulsory feature),"Range: 88 – 99 %","Strong predictor of both Qm and d33. Calculated from measured bulk density / theoretical XRD density × 100. Often reported in paper as % or g/cm³."
sintering_temp_c,float,Peak sintering temperature in °C,Blank for composites,Obj 2 (compulsory feature),"Range: 850 – 1160 °C typical for KNN","Critical processing feature. Same composition sintered at different temperatures gives different d33 and Qm — include all variants as separate rows."
sintering_method,categorical,Sintering technique used,Blank for composites,Obj 2 (compulsory feature),"conventional | hot_press | sps | rtgg | tgg | two_step | cold_sinter","Must match fabrication_method for ceramic rows. conventional = standard air sintering. sps = low-temperature high-density route."
ceramic_type,categorical,Classification of doping strategy,Always composite,Obj 2 use-case mapping (compulsory),"soft | hard | composite","soft = PPB-engineered high d33 low Qm (wearables). hard = acceptor-doped high Qm low d33 (motors/actuators). composite = PVDF matrix rows. This column enables the use-case mapping required by your synopsis."
source_doi,string,Full URL to journal paper or database entry,Full URL to journal paper,Traceability (compulsory),"https://doi.org/10.1021/... | https://pubs.acs.org/... | https://next-gen.materialsproject.org/materials/mp-XXXX","Always include full clickable URL. For Materials Project entries use the material page URL. For papers prefer DOI link over journal page link."
source_notes,string,Short human-readable description of the data point source,Short human-readable description,Traceability (compulsory),"Journal Year - key result. e.g. ACS AMI 2024 - textured KNN Qm=582 kp=0.58","Format: Journal Abbrev. Year - one-line summary of key reported values. Helps you quickly identify which paper each row came from without opening the DOI."
